"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/weather/index.html", "HTML", 0, 294, 0, 16, 310
"/home/amitjosemundackal-vonnue/codes/weather/weather.css", "CSS", 524, 0, 0, 5, 529
"Total", "-", 524, 294, 0, 21, 839
