"filename", "language", "HTML", "CSS", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/weather/index.html", "HTML", 214, 0, 0, 17, 231
"/home/amitjosemundackal-vonnue/codes/weather/weather.css", "CSS", 0, 256, 0, 4, 260
"Total", "-", 214, 256, 0, 21, 491
