"filename", "language", "HTML", "CSS", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/weather/index.html", "HTML", 124, 0, 0, 2, 126
"/home/amitjosemundackal-vonnue/codes/weather/weather.css", "CSS", 0, 82, 0, 2, 84
"Total", "-", 124, 82, 0, 4, 210
