"filename", "language", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/weather/index.html", "HTML", 0, 0, 1347, 0, 43, 1390
"/home/amitjosemundackal-vonnue/codes/weather/weather.css", "CSS", 1376, 0, 0, 3, 27, 1406
"/home/amitjosemundackal-vonnue/codes/weather/weather.js", "JavaScript", 0, 36, 0, 0, 19, 55
"Total", "-", 1376, 36, 1347, 3, 89, 2851
