"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/weather/index.html", "HTML", 0, 990, 0, 20, 1010
"/home/amitjosemundackal-vonnue/codes/weather/weather.css", "CSS", 1367, 0, 3, 23, 1393
"Total", "-", 1367, 990, 3, 43, 2403
