"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/weather/index.html", "HTML", 0, 501, 0, 2, 503
"/home/amitjosemundackal-vonnue/codes/weather/weather.css", "CSS", 761, 0, 3, 16, 780
"Total", "-", 761, 501, 3, 18, 1283
