"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/weather/index.html", "HTML", 0, 489, 0, 18, 507
"/home/amitjosemundackal-vonnue/codes/weather/weather.css", "CSS", 606, 0, 0, 7, 613
"Total", "-", 606, 489, 0, 25, 1120
